,train_r2,test_r2,train_rmse,test_rmse,cv_r2
DecisionTreeRegressor,0.3172031543891912,0.29308453152408154,14.438956818479895,14.983208222982501,0.2194590769035809
RandomForestRegressor,0.32099332587171614,0.31367575731419517,14.399330238387602,14.76185807094086,0.23138925360276988
GradientBoostingRegressor,0.32608745462384964,0.3173310463769397,14.344554447249632,14.727222702250572,0.23930498472702721
XGBRegressor,0.3209713990116222,0.3166379263171273,14.40048684107957,14.724799620893435,0.23923445084677075
SVR,0.29224654340176,0.3272099375469827,14.702711891421444,14.614906849698727,0.2287493240726936
GaussianProcessRegressor,0.3227608590230535,0.31513453591665586,14.380450273284353,14.751532571759768,0.22985303502676654
KNeighborsRegressor,0.28920780914685845,0.23787832686075774,14.725051396268976,15.442063963047184,0.20708130582317183
