,crystal radius,FE,valence s,valence p,valence d,valence f,thermal conductivity,Cohesive energy
DecisionTreeRegressor,0.7267500000000001,0.48808695652173917,0.2,0.267,0.488,0.21650000000000003,0.687857142857143,0.8730000000000001
RandomForestRegressor,0.7670588235294118,0.7922222222222223,0.7591891891891892,0.7152054794520548,0.802,0.7128571428571429,0.7300000000000001,0.7731250000000001
GradientBoostingRegressor,0.78,0.7525000000000001,0.7250000000000001,0.7207692307692308,0.7642857142857143,0.718529411764706,0.756842105263158,0.8075000000000001
XGBRegressor,0.796923076923077,0.7922222222222223,0.3984615384615385,0.11414285714285714,0.656,0.18114285714285716,0.5435161290322581,0.8075000000000001
SVR,0.71125,0.7171428571428572,0.7322641509433963,0.7278947368421053,0.8350000000000001,0.7525000000000001,1.0,0.78
KNeighborsRegressor,0.7152054794520548,0.726896551724138,0.7200000000000001,0.7232258064516129,0.8200000000000001,0.7878571428571429,1.0,0.7504878048780488
GaussianProcessRegressor,0.71125,0.7171428571428572,0.7334615384615385,0.726896551724138,0.8350000000000001,0.7642857142857143,1.0,0.7642857142857143
