,train_r2,test_r2,train_rmse,test_rmse,cv_r2
DecisionTreeRegressor,0.6679658872759291,0.5272987752973188,8.45758016525659,10.77418059545586,0.5218001754382542
RandomForestRegressor,0.6756653725391178,0.5206594258361661,8.368558017749098,10.837532587290667,0.544494832264648
GradientBoostingRegressor,0.6708248972209516,0.5029583328168392,8.424223604902526,11.062471044880267,0.5429205796002926
XGBRegressor,0.6727757273736812,0.5209501386480959,8.40876997139858,10.84935080411747,0.5440219261457537
SVR,0.6496330826941199,0.5220523942919082,8.708228998058516,10.87649276230771,0.5385220604123306
KNeighborsRegressor,0.6674317750226207,0.5308879201236649,8.469309984633302,10.740540901443726,0.5283369166404623
GaussianProcessRegressor,0.6735319149742395,0.5261570534678344,8.394495274361814,10.831609419584023,0.5454966183843936
