,train_r2,test_r2,train_rmse,test_rmse,cv_r2
DecisionTreeRegressor,0.9391457041811575,0.71795240832027,4.201343317361347,10.04443404677473,0.6078919559019919
SVR,0.9922992293974815,0.6265740482746465,1.7404353181708232,11.745485912830748,0.6019118459672873
KNeighborsRegressor,0.9984177554413096,0.722942561804424,0.7847115891220194,9.621863068893584,0.7029372980499077
GaussianProcessRegressor,0.9943667019120637,0.7909044465166148,1.3902070411366998,8.680543293342051,0.7214527525921247
GradientBoostingRegressor,0.9929557751226825,0.842771100331937,1.4995352645505413,7.356077629556123,0.7741894745261568
XGBRegressor,0.9847393387340034,0.8349974645993171,2.1830395550950215,7.5038946856798985,0.7955969290088893
