,crystal radius,FE,valence s,valence p,valence d,valence f,thermal conductivity,specific heat
DecisionTreeRegressor,0.4218421052631579,0.7593157894736843,0.49628571428571433,0.25923529411764706,0.9238461538461539,0.262875,0.52575,0.328
RandomForestRegressor,0.7764516129032258,0.796923076923077,0.7485714285714287,0.5815172413793104,0.89,0.5800000000000001,0.736,0.7402127659574469
GradientBoostingRegressor,0.5578461538461539,0.8075000000000001,0.5282307692307692,0.5152,0.8641176470588235,0.587764705882353,0.7670588235294118,0.6054736842105264
XGBRegressor,0.7731250000000001,0.8134782608695653,0.29900000000000004,0.0,0.8010000000000002,0.2,0.6988064516129033,0.41000000000000003
SVR,0.7117721518987342,0.7164788732394367,0.7334615384615385,0.726896551724138,0.8350000000000001,0.7731250000000001,1.0,0.756842105263158
GaussianProcessRegressor,0.7259322033898306,0.736,0.7402127659574469,0.7123076923076923,0.8350000000000001,0.7223809523809525,1.0,0.77
KNeighborsRegressor,0.7158333333333333,0.7485714285714287,0.7140000000000001,0.7223809523809525,0.8350000000000001,0.7731250000000001,1.0,0.7417391304347827
