,train_r2,test_r2,train_rmse,test_rmse,cv_r2
DecisionTreeRegressor,0.1633654098090977,0.022968414244501932,22.117753223589908,23.492810668160285,-0.0077429848005604335
RandomForestRegressor,0.1602286960685348,0.0776589444934807,22.15914927462531,22.889023866107653,0.013355254423213342
GradientBoostingRegressor,0.15708891012451867,0.08492982529585769,22.201623042233642,22.823194945680125,0.02266854381670324
XGBRegressor,0.14057329796704582,0.06156297813134988,22.41837898758012,23.105611216867295,0.031738868906531145
SVR,0.13299885344174672,0.057160569365612715,22.500260242169908,23.171109797893315,0.004828008957107385
KNeighborsRegressor,0.14178218343859889,0.07623364561991167,22.398230077328265,22.938159583443763,-0.06699206394545046
GaussianProcessRegressor,0.15532000108366675,0.07899609518739052,22.21895376719883,22.90249655481601,-0.007976374387540343
