,crystal radius,FE,valence s,valence p,valence d,valence f,thermal conductivity,specific heat
DecisionTreeRegressor,0.7591891891891892,0.6988064516129033,0.399,0.328,0.8436842105263158,0.5349999999999999,0.41000000000000003,0.78
RandomForestRegressor,0.7616666666666667,0.802,0.7546153846153847,0.7152054794520548,0.8350000000000001,0.7128571428571429,0.726896551724138,0.7731250000000001
GradientBoostingRegressor,0.7504878048780488,0.7764516129032258,0.6705000000000001,0.585811320754717,0.89,0.5840000000000001,0.6636122448979592,0.7764516129032258
XGBRegressor,0.77,0.7764516129032258,0.5389999999999999,0.18114285714285716,0.7680000000000001,0.262875,0.6136470588235294,0.634
SVR,0.71125,0.7171428571428572,0.7322641509433963,0.7278947368421053,0.8350000000000001,0.78,1.0,0.7525000000000001
KNeighborsRegressor,0.7140000000000001,0.7300000000000001,0.7178260869565218,0.7289285714285715,0.8134782608695653,0.7922222222222223,1.0,0.7433333333333334
GaussianProcessRegressor,0.71125,0.7171428571428572,0.7334615384615385,0.726896551724138,0.8350000000000001,0.78,1.0,0.7525000000000001
