,crystal radius,Pauling Electronegativity,FE,OE,valence s,valence p,valence d,valence f,specific heat,thermal conductivity,Cohesive energy
DecisionTreeRegressor,0.6375384615384616,0.5578461538461539,0.5545555555555555,0.3413333333333334,0.3695384615384616,0.18114285714285716,0.3413333333333334,0.27171428571428574,0.6337777777777778,0.39611111111111114,0.7922222222222223
RandomForestRegressor,0.7347058823529412,0.7140000000000001,0.7546153846153847,0.7289285714285715,0.7192537313432836,0.7020388349514564,0.8075000000000001,0.7008411214953272,0.7731250000000001,0.7140000000000001,0.7764516129032258
GradientBoostingRegressor,0.77,0.7215625,0.7289285714285715,0.7192537313432836,0.71125,0.6360000000000001,0.7240983606557377,0.5742608695652174,0.7467441860465117,0.736,0.89
XGBRegressor,0.7467441860465117,0.6542068965517243,0.7467441860465117,0.6003902439024391,0.447,0.1,0.6211612903225807,0.10366666666666667,0.7593157894736843,0.6542068965517243,0.7922222222222223
SVR,0.7000000000000001,0.7070786516853933,0.7030000000000001,0.7289285714285715,0.7152054794520548,0.7123076923076923,0.8350000000000001,0.7616666666666667,0.7311111111111112,1.0,0.7670588235294118
KNeighborsRegressor,0.7011320754716982,0.71125,0.7083720930232559,0.713421052631579,0.713421052631579,0.57725,0.8134782608695653,0.7922222222222223,0.7402127659574469,1.0,0.7467441860465117
GaussianProcessRegressor,0.7000000000000001,0.7088235294117647,0.7033333333333334,0.726896551724138,0.7178260869565218,0.7097590361445784,0.8350000000000001,0.7616666666666667,0.7322641509433963,1.0,0.7591891891891892
